"","#","Currency","Pair","Volume (24h)","Price","Volume (%)","Category","Fee Type","Updated","""Binance""","Sys.Date()"
"1",1,"Bitcoin","BTC/USDT","$83,815,739","$3487.95","16.03%","Spot","Percentage","Recently","Binance",2019-01-30
"2",2,"XRP","XRP/USDT","$41,739,824","$0.320697","7.98%","Spot","Percentage","Recently","Binance",2019-01-30
"3",3,"Ethereum","ETH/USDT","$35,604,279","$109.07","6.81%","Spot","Percentage","Recently","Binance",2019-01-30
"4",4,"XRP","XRP/BTC","$34,294,822","$0.320566","6.56%","Spot","Percentage","Recently","Binance",2019-01-30
"5",5,"Ethereum","ETH/BTC","$21,364,076","$108.97","4.09%","Spot","Percentage","Recently","Binance",2019-01-30
"6",6,"TRON","TRX/USDT","$18,750,248","$0.027491","3.59%","Spot","Percentage","Recently","Binance",2019-01-30
"7",7,"Binance Coin","BNB/USDT","$14,112,145","$6.17","2.70%","Spot","Percentage","Recently","Binance",2019-01-30
"8",8,"TRON","TRX/BTC","$13,510,429","$0.027463","2.58%","Spot","Percentage","Recently","Binance",2019-01-30
"9",9,"Waves","WAVES/BTC","$13,412,448","$2.91","2.57%","Spot","Percentage","Recently","Binance",2019-01-30
"10",10,"Binance Coin","BNB/BTC","$11,556,296","$6.17","2.21%","Spot","Percentage","Recently","Binance",2019-01-30
"11",11,"Bitcoin Cash","BCHABC/USDT","$10,886,643","$118.61","2.08%","Spot","Percentage","Recently","Binance",2019-01-30
"12",12,"Holo","HOT/BTC","$9,551,109","$0.001150","1.83%","Spot","Percentage","Recently","Binance",2019-01-30
"13",13,"TrueUSD","TUSD/BTC","$8,593,826","$1.01","1.64%","Spot","Percentage","Recently","Binance",2019-01-30
"14",14,"Bitcoin","BTC/PAX","$7,443,926","$3477.82","1.42%","Spot","Percentage","Recently","Binance",2019-01-30
"15",15,"Stellar","XLM/BTC","$7,337,256","$0.085770","1.40%","Spot","Percentage","Recently","Binance",2019-01-30
"16",16,"EOS","EOS/USDT","$6,520,832","$2.34","1.25%","Spot","Percentage","Recently","Binance",2019-01-30
"17",17,"Bitcoin Cash","BCHABC/BTC","$5,580,235","$118.53","1.07%","Spot","Percentage","Recently","Binance",2019-01-30
"18",18,"Chainlink","LINK/BTC","$5,346,065","$0.425803","1.02%","Spot","Percentage","Recently","Binance",2019-01-30
"19",19,"Stellar","XLM/USDT","$5,130,124","$0.085863","0.98%","Spot","Percentage","Recently","Binance",2019-01-30
"20",20,"Cardano","ADA/USDT","$4,550,011","$0.039762","0.87%","Spot","Percentage","Recently","Binance",2019-01-30
"21",21,"TrueUSD","TUSD/USDT","$4,463,927","$1.01","0.85%","Spot","Percentage","Recently","Binance",2019-01-30
"22",22,"Waves","WAVES/USDT","$4,410,929","$2.91","0.84%","Spot","Percentage","Recently","Binance",2019-01-30
"23",23,"Litecoin","LTC/USDT","$3,987,567","$31.98","0.76%","Spot","Percentage","Recently","Binance",2019-01-30
"24",24,"Paxos Standard Token","PAX/USDT","$3,985,805","$1.01","0.76%","Spot","Percentage","Recently","Binance",2019-01-30
"25",25,"Litecoin","LTC/BTC","$3,940,777","$31.98","0.75%","Spot","Percentage","Recently","Binance",2019-01-30
"26",26,"Ethereum","ETH/PAX","$3,698,781","$108.77","0.71%","Spot","Percentage","Recently","Binance",2019-01-30
"27",27,"Cardano","ADA/BTC","$3,546,910","$0.039696","0.68%","Spot","Percentage","Recently","Binance",2019-01-30
"28",28,"Bitcoin SV","BCHSV/USDT","$3,418,392","$66.32","0.65%","Spot","Percentage","Recently","Binance",2019-01-30
"29",29,"Bitcoin","BTC/USDC","$3,251,031","$3486.33","0.62%","Spot","Percentage","Recently","Binance",2019-01-30
"30",30,"Mainframe","MFT/BTC","$3,199,441","$0.003032","0.61%","Spot","Percentage","Recently","Binance",2019-01-30
"31",31,"Holo","HOT/ETH","$3,125,632","$0.001151","0.60%","Spot","Percentage","Recently","Binance",2019-01-30
"32",32,"EOS","EOS/BTC","$3,025,985","$2.34","0.58%","Spot","Percentage","Recently","Binance",2019-01-30
"33",33,"TRON","TRX/XRP","$2,810,500","$0.027270","0.54%","Spot","Percentage","Recently","Binance",2019-01-30
"34",34,"Zilliqa","ZIL/BTC","$2,788,087","$0.020493","0.53%","Spot","Percentage","Recently","Binance",2019-01-30
"35",35,"Pundi X","NPXS/BTC","$2,775,240","$0.000627","0.53%","Spot","Percentage","Recently","Binance",2019-01-30
"36",36,"Everex","EVX/BTC","$2,766,726","$0.353720","0.53%","Spot","Percentage","Recently","Binance",2019-01-30
"37",37,"XRP","XRP/ETH","$2,746,421","$0.320033","0.53%","Spot","Percentage","Recently","Binance",2019-01-30
"38",38,"NEO","NEO/USDT","$2,660,700","$7.12","0.51%","Spot","Percentage","Recently","Binance",2019-01-30
"39",39,"Red Pulse Phoenix","PHX/BTC","$2,535,857","$0.008819","0.49%","Spot","Percentage","Recently","Binance",2019-01-30
"40",40,"Bitcoin SV","BCHSV/BTC","$2,452,324","$66.31","0.47%","Spot","Percentage","Recently","Binance",2019-01-30
"41",41,"USD Coin","USDC/USDT","$2,386,644","$1.01","0.46%","Spot","Percentage","Recently","Binance",2019-01-30
"42",42,"XRP","XRP/TUSD","$2,249,372","$0.320101","0.43%","Spot","Percentage","Recently","Binance",2019-01-30
"43",43,"Pundi X","NPXS/ETH","$2,167,995","$0.000648","0.41%","Spot","Percentage","Recently","Binance",2019-01-30
"44",44,"Ontology","ONT/USDT","$2,142,680","$0.553655","0.41%","Spot","Percentage","Recently","Binance",2019-01-30
"45",45,"Metal","MTL/BTC","$2,087,915","$0.247479","0.40%","Spot","Percentage","Recently","Binance",2019-01-30
"46",46,"NEO","NEO/BTC","$1,817,903","$7.11","0.35%","Spot","Percentage","Recently","Binance",2019-01-30
"47",47,"Aeron","ARN/BTC","$1,764,291","$0.276444","0.34%","Spot","Percentage","Recently","Binance",2019-01-30
"48",48,"Mithril","MITH/BTC","$1,687,814","$0.041160","0.32%","Spot","Percentage","Recently","Binance",2019-01-30
"49",49,"TRON","TRX/ETH","$1,679,217","$0.027470","0.32%","Spot","Percentage","Recently","Binance",2019-01-30
"50",50,"VeChain","VET/USDT","$1,647,387","$0.004033","0.32%","Spot","Percentage","Recently","Binance",2019-01-30
"51",51,"Monero","XMR/BTC","$1,638,445","$44.19","0.31%","Spot","Percentage","Recently","Binance",2019-01-30
"52",52,"VeChain","VET/BTC","$1,441,993","$0.004043","0.28%","Spot","Percentage","Recently","Binance",2019-01-30
"53",53,"Paxos Standard Token","PAX/BTC","$1,426,322","$0.877392","0.27%","Spot","Percentage","Recently","Binance",2019-01-30
"54",54,"iExec RLC","RLC/BTC","$1,395,687","$0.285123","0.27%","Spot","Percentage","Recently","Binance",2019-01-30
"55",55,"XRP","XRP/PAX","$1,391,083","$0.319695","0.27%","Spot","Percentage","Recently","Binance",2019-01-30
"56",56,"ICON","ICX/BTC","$1,386,351","$0.205303","0.27%","Spot","Percentage","Recently","Binance",2019-01-30
"57",57,"Ontology","ONT/BTC","$1,382,734","$0.553097","0.26%","Spot","Percentage","Recently","Binance",2019-01-30
"58",58,"Ethos","BQX/BTC","$1,353,190","$0.150091","0.26%","Spot","Percentage","Recently","Binance",2019-01-30
"59",59,"XRP","XRP/USDC","$1,305,010","$0.320643","0.25%","Spot","Percentage","Recently","Binance",2019-01-30
"60",60,"ICON","ICX/USDT","$1,246,876","$0.204901","0.24%","Spot","Percentage","Recently","Binance",2019-01-30
"61",61,"Ethereum Classic","ETC/USDT","$1,241,947","$4.00","0.24%","Spot","Percentage","Recently","Binance",2019-01-30
"62",62,"Augur","REP/BTC","$1,108,591","$12.04","0.21%","Spot","Percentage","Recently","Binance",2019-01-30
"63",63,"Zcash","ZEC/BTC","$1,076,778","$49.73","0.21%","Spot","Percentage","Recently","Binance",2019-01-30
"64",64,"Selfkey","KEY/BTC","$1,049,691","$0.002823","0.20%","Spot","Percentage","Recently","Binance",2019-01-30
"65",65,"Lunyr","LUN/BTC","$1,027,629","$1.75","0.20%","Spot","Percentage","Recently","Binance",2019-01-30
"66",66,"0x","ZRX/BTC","$1,011,921","$0.259820","0.19%","Spot","Percentage","Recently","Binance",2019-01-30
"67",67,"Ethereum Classic","ETC/BTC","$1,006,089","$4.00","0.19%","Spot","Percentage","Recently","Binance",2019-01-30
"68",68,"NEM","XEM/BTC","$1,005,350","$0.047160","0.19%","Spot","Percentage","Recently","Binance",2019-01-30
"69",69,"Dent","DENT/BTC","$946,728","$0.001081","0.18%","Spot","Percentage","Recently","Binance",2019-01-30
"70",70,"Chainlink","LINK/USDT","$941,100","$0.426710","0.18%","Spot","Percentage","Recently","Binance",2019-01-30
"71",71,"Ethereum","ETH/USDC","$862,653","$109.01","0.17%","Spot","Percentage","Recently","Binance",2019-01-30
"72",72,"IOTA","IOTA/BTC","$844,059","$0.263652","0.16%","Spot","Percentage","Recently","Binance",2019-01-30
"73",73,"Ravencoin","RVN/BTC","$842,178","$0.011919","0.16%","Spot","Percentage","Recently","Binance",2019-01-30
"74",74,"Binance Coin","BNB/ETH","$841,858","$6.17","0.16%","Spot","Percentage","Recently","Binance",2019-01-30
"75",75,"Nano","NANO/BTC","$830,324","$0.887438","0.16%","Spot","Percentage","Recently","Binance",2019-01-30
"76",76,"IoTeX","IOTX/BTC","$825,745","$0.007249","0.16%","Spot","Percentage","Recently","Binance",2019-01-30
"77",77,"IOTA","IOTA/USDT","$822,601","$0.263473","0.16%","Spot","Percentage","Recently","Binance",2019-01-30
"78",78,"Genesis Vision","GVT/BTC","$811,681","$3.67","0.16%","Spot","Percentage","Recently","Binance",2019-01-30
"79",79,"Agrello","DLT/BTC","$808,181","$0.118964","0.15%","Spot","Percentage","Recently","Binance",2019-01-30
"80",80,"Waves","WAVES/ETH","$808,030","$2.91","0.15%","Spot","Percentage","Recently","Binance",2019-01-30
"81",81,"Monetha","MTH/BTC","$804,217","$0.017289","0.15%","Spot","Percentage","Recently","Binance",2019-01-30
"82",82,"OAX","OAX/BTC","$767,542","$0.137856","0.15%","Spot","Percentage","Recently","Binance",2019-01-30
"83",83,"Bitcoin Gold","BTG/BTC","$750,483","$10.19","0.14%","Spot","Percentage","Recently","Binance",2019-01-30
"84",84,"Stratis","STRAT/BTC","$726,521","$0.840731","0.14%","Spot","Percentage","Recently","Binance",2019-01-30
"85",85,"TRON","TRX/BNB","$707,616","$0.027443","0.14%","Spot","Percentage","Recently","Binance",2019-01-30
"86",86,"TrueUSD","TUSD/ETH","$688,442","$1.01","0.13%","Spot","Percentage","Recently","Binance",2019-01-30
"87",87,"Loom Network","LOOM/BTC","$678,319","$0.041543","0.13%","Spot","Percentage","Recently","Binance",2019-01-30
"88",88,"Stellar","XLM/TUSD","$663,576","$0.085739","0.13%","Spot","Percentage","Recently","Binance",2019-01-30
"89",89,"Verge","XVG/BTC","$658,293","$0.006239","0.13%","Spot","Percentage","Recently","Binance",2019-01-30
"90",90,"aelf","ELF/BTC","$648,325","$0.105636","0.12%","Spot","Percentage","Recently","Binance",2019-01-30
"91",91,"Viberate","VIB/BTC","$644,797","$0.022726","0.12%","Spot","Percentage","Recently","Binance",2019-01-30
"92",92,"FunFair","FUN/BTC","$634,713","$0.003974","0.12%","Spot","Percentage","Recently","Binance",2019-01-30
"93",93,"Dash","DASH/BTC","$616,120","$69.07","0.12%","Spot","Percentage","Recently","Binance",2019-01-30
"94",94,"IOST","IOST/BTC","$607,212","$0.005890","0.12%","Spot","Percentage","Recently","Binance",2019-01-30
"95",95,"USD Coin","USDC/TUSD","$602,482","$1.01","0.12%","Spot","Percentage","Recently","Binance",2019-01-30
"96",96,"QuarkChain","QKC/BTC","$576,151","$0.029903","0.11%","Spot","Percentage","Recently","Binance",2019-01-30
"97",97,"Storm","STORM/BTC","$563,634","$0.002823","0.11%","Spot","Percentage","Recently","Binance",2019-01-30
"98",98,"Stellar","XLM/USDC","$554,275","$0.085901","0.11%","Spot","Percentage","Recently","Binance",2019-01-30
"99",99,"THETA","THETA/BTC","$505,971","$0.054717","0.10%","Spot","Percentage","Recently","Binance",2019-01-30
"100",100,"Wanchain","WAN/BTC","$504,319","$0.292057","0.10%","Spot","Percentage","Recently","Binance",2019-01-30
"101",101,"XRP","XRP/BNB","$500,832","$0.320343","0.10%","Spot","Percentage","Recently","Binance",2019-01-30
"102",102,"QLC Chain","QLC/BTC","$487,149","$0.022970","0.09%","Spot","Percentage","Recently","Binance",2019-01-30
"103",103,"Moeda Loyalty Points","MDA/BTC","$481,774","$0.694718","0.09%","Spot","Percentage","Recently","Binance",2019-01-30
"104",104,"Cardano","ADA/ETH","$479,935","$0.039735","0.09%","Spot","Percentage","Recently","Binance",2019-01-30
"105",105,"Waves","WAVES/TUSD","$467,366","$2.92","0.09%","Spot","Percentage","Recently","Binance",2019-01-30
"106",106,"Zilliqa","ZIL/ETH","$453,235","$0.020375","0.09%","Spot","Percentage","Recently","Binance",2019-01-30
"107",107,"Polymath","POLY/BTC","$444,440","$0.102290","0.09%","Spot","Percentage","Recently","Binance",2019-01-30
"108",108,"Stellar","XLM/ETH","$443,783","$0.085731","0.08%","Spot","Percentage","Recently","Binance",2019-01-30
"109",109,"OmiseGO","OMG/BTC","$440,519","$1.14","0.08%","Spot","Percentage","Recently","Binance",2019-01-30
"110",110,"Enjin Coin","ENJ/BTC","$427,145","$0.031889","0.08%","Spot","Percentage","Recently","Binance",2019-01-30
"111",111,"Nucleus Vision","NCASH/BTC","$420,323","$0.001743","0.08%","Spot","Percentage","Recently","Binance",2019-01-30
"112",112,"TrueUSD","TUSD/BNB","$417,404","$1.01","0.08%","Spot","Percentage","Recently","Binance",2019-01-30
"113",113,"Waltonchain","WTC/BTC","$397,161","$1.00","0.08%","Spot","Percentage","Recently","Binance",2019-01-30
"114",114,"Status","SNT/BTC","$392,996","$0.019412","0.08%","Spot","Percentage","Recently","Binance",2019-01-30
"115",115,"TRON","TRX/TUSD","$389,319","$0.027449","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"116",116,"PIVX","PIVX/BTC","$388,054","$0.700609","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"117",117,"Cardano","ADA/TUSD","$384,790","$0.039651","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"118",118,"Loopring","LRC/BTC","$379,485","$0.059674","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"119",119,"CyberMiles","CMT/BTC","$371,552","$0.023563","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"120",120,"Basic Attention Token","BAT/BTC","$370,775","$0.116230","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"121",121,"Siacoin","SC/BTC","$361,193","$0.002370","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"122",122,"NULS","NULS/BTC","$360,410","$0.418239","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"123",123,"VeChain","VET/ETH","$357,589","$0.004024","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"124",124,"EOS","EOS/ETH","$353,218","$2.33","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"125",125,"WePower","WPR/BTC","$352,103","$0.012756","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"126",126,"Aion","AION/BTC","$348,478","$0.120951","0.07%","Spot","Percentage","Recently","Binance",2019-01-30
"127",127,"Power Ledger","POWR/BTC","$326,415","$0.084596","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"128",128,"Komodo","KMD/BTC","$321,474","$0.651462","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"129",129,"Bluzelle","BLZ/BTC","$316,633","$0.038058","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"130",130,"Binance Coin","BNB/PAX","$306,749","$6.15","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"131",131,"Ren","REN/BTC","$306,013","$0.018785","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"132",132,"Ambrosus","AMB/BTC","$302,173","$0.057060","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"133",133,"Qtum","QTUM/BTC","$300,138","$1.90","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"134",134,"Chainlink","LINK/ETH","$299,302","$0.424671","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"135",135,"Gifto","GTO/BTC","$295,183","$0.025480","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"136",136,"Lisk","LSK/BTC","$291,297","$1.12","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"137",137,"Everex","EVX/ETH","$290,966","$0.353100","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"138",138,"Wings","WINGS/BTC","$288,221","$0.086408","0.06%","Spot","Percentage","Recently","Binance",2019-01-30
"139",139,"IOTA","IOTA/ETH","$286,742","$0.262805","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"140",140,"GoChain","GO/BTC","$277,353","$0.019691","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"141",141,"Viacoin","VIA/BTC","$272,381","$0.307431","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"142",142,"Insolar","INS/BTC","$268,800","$0.271181","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"143",143,"SingularityNET","AGI/BTC","$255,641","$0.045766","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"144",144,"Groestlcoin","GRS/BTC","$255,402","$0.201957","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"145",145,"NEO","NEO/ETH","$252,849","$7.10","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"146",146,"Dock","DOCK/BTC","$252,761","$0.008922","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"147",147,"Mainframe","MFT/ETH","$252,638","$0.003033","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"148",148,"Steem","STEEM/BTC","$242,663","$0.296277","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"149",149,"Tierion","TNT/BTC","$242,466","$0.014361","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"150",150,"SingularDTV","SNGLS/BTC","$242,394","$0.014082","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"151",151,"POA Network","POA/BTC","$239,175","$0.029035","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"152",152,"Aeternity","AE/BTC","$237,596","$0.377492","0.05%","Spot","Percentage","Recently","Binance",2019-01-30
"153",153,"Qtum","QTUM/USDT","$234,819","$1.90","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"154",154,"Waves","WAVES/BNB","$234,261","$2.92","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"155",155,"OST","OST/BTC","$232,127","$0.020077","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"156",156,"EOS","EOS/PAX","$227,861","$2.33","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"157",157,"Decentraland","MANA/BTC","$225,935","$0.035305","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"158",158,"Bitcoin Diamond","BCD/BTC","$225,721","$0.731886","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"159",159,"VIBE","VIBE/BTC","$217,805","$0.035170","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"160",160,"Po.et","POE/BTC","$213,058","$0.005089","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"161",161,"Aeron","ARN/ETH","$212,385","$0.276853","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"162",162,"Tael","WABI/BTC","$208,070","$0.121125","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"163",163,"BitShares","BTS/BTC","$204,955","$0.037610","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"164",164,"Quantstamp","QSP/BTC","$204,156","$0.014605","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"165",165,"Chainlink","LINK/USDC","$200,223","$0.428066","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"166",166,"Red Pulse Phoenix","PHX/ETH","$195,360","$0.008788","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"167",167,"Paxos Standard Token","PAX/ETH","$194,392","$0.966499","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"168",168,"Binance Coin","BNB/USDC","$193,679","$6.17","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"169",169,"Stellar","XLM/PAX","$189,109","$0.085571","0.04%","Spot","Percentage","Recently","Binance",2019-01-30
"170",170,"NULS","NULS/USDT","$178,811","$0.417955","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"171",171,"NEO","NEO/TUSD","$166,985","$7.11","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"172",172,"Nebulas","NAS/BTC","$160,861","$0.531557","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"173",173,"Litecoin","LTC/ETH","$153,431","$31.94","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"174",174,"Augur","REP/ETH","$153,090","$11.99","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"175",175,"Chainlink","LINK/TUSD","$152,292","$0.427267","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"176",176,"Bitcoin Cash","BCHABC/TUSD","$149,887","$118.26","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"177",177,"Golem","GNT/BTC","$149,231","$0.058245","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"178",178,"Kyber Network","KNC/BTC","$148,648","$0.122016","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"179",179,"HyperCash","HC/BTC","$145,117","$0.954710","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"180",180,"Stellar","XLM/BNB","$144,708","$0.085963","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"181",181,"TRON","TRX/USDC","$144,323","$0.027491","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"182",182,"Gas","GAS/BTC","$143,698","$1.99","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"183",183,"YOYOW","YOYO/BTC","$141,518","$0.014012","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"184",184,"BlockMason Credit Protocol","BCPT/BTC","$139,525","$0.030325","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"185",185,"Skycoin","SKY/BTC","$138,807","$0.965516","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"186",186,"Raiden Network Token","RDN/BTC","$134,697","$0.212936","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"187",187,"Paxos Standard Token","PAX/TUSD","$132,051","$1.01","0.03%","Spot","Percentage","Recently","Binance",2019-01-30
"188",188,"Ripio Credit Network","RCN/BTC","$130,641","$0.011398","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"189",189,"AdEx","ADX/BTC","$130,226","$0.094181","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"190",190,"Agrello","DLT/ETH","$129,596","$0.118650","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"191",191,"SALT","SALT/BTC","$122,203","$0.215411","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"192",192,"ICON","ICX/ETH","$121,763","$0.204608","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"193",193,"Zcoin","XZC/BTC","$121,689","$4.73","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"194",194,"Populous","PPT/BTC","$121,492","$1.24","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"195",195,"USD Coin","USDC/PAX","$121,184","$1.01","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"196",196,"district0x","DNT/BTC","$120,794","$0.010945","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"197",197,"GXChain","GXS/BTC","$116,679","$0.561184","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"198",198,"Status","SNT/ETH","$116,616","$0.019333","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"199",199,"Time New Bank","TNB/BTC","$115,728","$0.002893","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"200",200,"Crypto.com","MCO/BTC","$114,193","$2.06","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"201",201,"iExec RLC","RLC/ETH","$111,481","$0.285690","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"202",202,"Blox","CDT/BTC","$110,854","$0.007529","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"203",203,"ETHLend","LEND/BTC","$110,285","$0.007634","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"204",204,"AirSwap","AST/BTC","$108,131","$0.026351","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"205",205,"Request Network","REQ/BTC","$107,173","$0.020879","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"206",206,"Ontology","ONT/ETH","$104,077","$0.552552","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"207",207,"Bread","BRD/BTC","$103,992","$0.204431","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"208",208,"Litecoin","LTC/BNB","$99,460","$32.03","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"209",209,"Eidoo","EDO/BTC","$99,268","$0.693986","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"210",210,"Cindicator","CND/BTC","$96,342","$0.010004","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"211",211,"Modum","MOD/BTC","$95,141","$0.303249","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"212",212,"Dent","DENT/ETH","$94,768","$0.001069","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"213",213,"Ark","ARK/BTC","$94,581","$0.404680","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
