"","#","Currency","Pair","Volume (24h)","Price","Volume (%)","Category","Fee Type","Updated","""Binance""","Sys.Date()"
"214",214,"Decred","DCR/BTC","$94,352","$16.35","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"215",215,"VeChain","VET/BNB","$85,135","$0.004073","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"216",216,"NEM","XEM/ETH","$82,531","$0.047166","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"217",217,"Monero","XMR/ETH","$78,492","$44.17","0.02%","Spot","Percentage","Recently","Binance",2019-01-30
"218",218,"Neblio","NEBL/BTC","$78,360","$1.04","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"219",219,"Ardor","ARDR/BTC","$77,965","$0.052354","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"220",220,"Cardano","ADA/BNB","$77,534","$0.039742","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"221",221,"Nexus","NXS/BTC","$76,900","$0.346122","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"222",222,"SONM","SNM/BTC","$75,013","$0.019519","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"223",223,"Stratis","STRAT/ETH","$74,066","$0.841507","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"224",224,"0x","ZRX/ETH","$72,068","$0.259689","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"225",225,"Bancor","BNT/BTC","$71,789","$0.493674","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"226",226,"Waves","WAVES/USDC","$71,751","$2.91","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"227",227,"Etherparty","FUEL/BTC","$69,334","$0.007703","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"228",228,"Gifto","GTO/ETH","$68,349","$0.025442","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"229",229,"Zcash","ZEC/ETH","$68,100","$49.74","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"230",230,"Enigma","ENG/BTC","$68,039","$0.269403","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"231",231,"Monetha","MTH/ETH","$65,498","$0.017215","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"232",232,"IOST","IOST/ETH","$65,191","$0.005890","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"233",233,"DigixDAO","DGD/BTC","$64,526","$16.26","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"234",234,"OAX","OAX/ETH","$64,189","$0.137599","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"235",235,"Verge","XVG/ETH","$63,202","$0.006214","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"236",236,"Horizen","ZEN/BTC","$63,182","$4.24","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"237",237,"Bitcoin Gold","BTG/ETH","$62,372","$10.20","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"238",238,"CloakCoin","CLOAK/BTC","$62,067","$1.13","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"239",239,"Zilliqa","ZIL/BNB","$61,921","$0.020544","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"240",240,"NEM","XEM/BNB","$61,275","$0.047209","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"241",241,"Qtum","QTUM/ETH","$60,797","$1.89","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"242",242,"Streamr DATAcoin","DATA/BTC","$60,648","$0.018021","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"243",243,"EOS","EOS/TUSD","$60,379","$2.33","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"244",244,"Civic","CVC/BTC","$60,226","$0.049391","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"245",245,"Aeternity","AE/ETH","$60,123","$0.378308","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"246",246,"QuarkChain","QKC/ETH","$59,362","$0.029910","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"247",247,"Viberate","VIB/ETH","$56,326","$0.022754","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"248",248,"AppCoins","APPC/BTC","$56,222","$0.042246","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"249",249,"OmiseGO","OMG/ETH","$53,670","$1.14","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"250",250,"NEO","NEO/BNB","$52,534","$7.13","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"251",251,"Substratum","SUB/BTC","$51,061","$0.042106","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"252",252,"Siacoin","SC/ETH","$50,218","$0.002356","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"253",253,"NavCoin","NAV/BTC","$49,754","$0.151624","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"254",254,"Ethereum Classic","ETC/ETH","$49,216","$4.00","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"255",255,"Lunyr","LUN/ETH","$49,181","$1.75","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"256",256,"Nano","NANO/ETH","$49,088","$0.886455","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"257",257,"Red Pulse Phoenix","PHX/BNB","$48,224","$0.008744","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"258",258,"Ethos","BQX/ETH","$47,263","$0.150137","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"259",259,"Dash","DASH/ETH","$47,160","$68.85","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"260",260,"IoTeX","IOTX/ETH","$46,243","$0.007306","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"261",261,"THETA","THETA/ETH","$45,642","$0.054696","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"262",262,"EOS","EOS/BNB","$45,606","$2.34","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"263",263,"PIVX","PIVX/ETH","$45,161","$0.700784","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"264",264,"Kyber Network","KNC/ETH","$43,771","$0.121337","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"265",265,"Bancor","BNT/ETH","$43,691","$0.494275","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"266",266,"Bitcoin Cash","BCHABC/USDC","$42,585","$118.56","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"267",267,"Loom Network","LOOM/ETH","$42,569","$0.041510","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"268",268,"USD Coin","USDC/BTC","$41,112","$1.09","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"269",269,"Enjin Coin","ENJ/ETH","$40,829","$0.031960","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"270",270,"Syscoin","SYS/BTC","$40,793","$0.042211","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"271",271,"CyberMiles","CMT/ETH","$40,722","$0.023507","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"272",272,"IOTA","IOTA/BNB","$40,516","$0.264371","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"273",273,"Basic Attention Token","BAT/ETH","$39,656","$0.116271","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"274",274,"Nebulas","NAS/ETH","$39,106","$0.530785","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"275",275,"Dock","DOCK/ETH","$38,898","$0.008882","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"276",276,"Litecoin","LTC/TUSD","$38,415","$31.98","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"277",277,"SingularityNET","AGI/ETH","$37,630","$0.045560","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"278",278,"Agrello","DLT/BNB","$37,611","$0.118671","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"279",279,"Genesis Vision","GVT/ETH","$37,581","$3.66","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"280",280,"Storj","STORJ/BTC","$36,836","$0.131129","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"281",281,"Ambrosus","AMB/ETH","$36,476","$0.057419","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"282",282,"Storm","STORM/ETH","$35,881","$0.002835","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"283",283,"Bitcoin Diamond","BCD/ETH","$35,617","$0.730278","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"284",284,"Selfkey","KEY/ETH","$35,398","$0.002848","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"285",285,"EOS","EOS/USDC","$35,377","$2.34","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"286",286,"Aion","AION/ETH","$35,038","$0.120806","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"287",287,"Paxos Standard Token","PAX/BNB","$34,018","$1.24","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"288",288,"Insolar","INS/ETH","$31,667","$0.272453","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"289",289,"Loopring","LRC/ETH","$31,486","$0.059345","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"290",290,"Loom Network","LOOM/BNB","$30,841","$0.042025","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"291",291,"Ontology","ONT/BNB","$30,543","$0.555402","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"292",292,"QLC Chain","QLC/ETH","$30,425","$0.022977","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"293",293,"Zcoin","XZC/XRP","$30,408","$4.69","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"294",294,"Waltonchain","WTC/ETH","$30,376","$1.00","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"295",295,"aelf","ELF/ETH","$29,210","$0.105547","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"296",296,"Metal","MTL/ETH","$28,999","$0.248577","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"297",297,"Nucleus Vision","NCASH/ETH","$28,318","$0.001736","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"298",298,"Power Ledger","POWR/ETH","$27,540","$0.084694","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"299",299,"POA Network","POA/ETH","$26,152","$0.028926","0.01%","Spot","Percentage","Recently","Binance",2019-01-30
"300",300,"Populous","PPT/ETH","$25,883","$1.23","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"301",301,"FunFair","FUN/ETH","$25,716","$0.003901","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"302",302,"GXChain","GXS/ETH","$25,063","$0.557776","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"303",303,"Raiden Network Token","RDN/BNB","$23,412","$0.213768","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"304",304,"Mainframe","MFT/BNB","$23,110","$0.003042","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"305",305,"Decentraland","MANA/ETH","$22,546","$0.035205","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"306",306,"Bitcoin SV","BCHSV/TUSD","$22,514","$65.95","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"307",307,"Moeda Loyalty Points","MDA/ETH","$22,366","$0.695135","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"308",308,"SingularDTV","SNGLS/ETH","$22,026","$0.014164","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"309",309,"Wanchain","WAN/ETH","$21,967","$0.291349","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"310",310,"BitShares","BTS/ETH","$21,850","$0.037388","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"311",311,"WePower","WPR/ETH","$21,498","$0.012724","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"312",312,"Nano","NANO/BNB","$21,306","$0.891111","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"313",313,"Tael","WABI/ETH","$20,348","$0.120862","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"314",314,"Skycoin","SKY/ETH","$20,303","$0.962095","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"315",315,"Steem","STEEM/ETH","$20,213","$0.296138","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"316",316,"Bluzelle","BLZ/ETH","$19,805","$0.037920","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"317",317,"Tierion","TNT/ETH","$19,708","$0.014366","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"318",318,"Crypto.com","MCO/ETH","$19,633","$2.05","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"319",319,"Waves","WAVES/PAX","$19,530","$2.91","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"320",320,"DigixDAO","DGD/ETH","$19,520","$16.22","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"321",321,"iExec RLC","RLC/BNB","$19,202","$0.284613","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"322",322,"AdEx","ADX/ETH","$18,804","$0.094708","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"323",323,"Viacoin","VIA/ETH","$18,595","$0.308001","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"324",324,"Wings","WINGS/ETH","$18,348","$0.086469","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"325",325,"Mithril","MITH/BNB","$17,555","$0.040915","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"326",326,"ETHLend","LEND/ETH","$17,070","$0.007650","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"327",327,"ICON","ICX/BNB","$17,052","$0.205684","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"328",328,"NULS","NULS/ETH","$17,021","$0.417925","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"329",329,"Komodo","KMD/ETH","$16,974","$0.650720","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"330",330,"Time New Bank","TNB/ETH","$16,511","$0.002874","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"331",331,"Request Network","REQ/ETH","$16,263","$0.020882","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"332",332,"Raiden Network Token","RDN/ETH","$15,915","$0.212412","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"333",333,"Litecoin","LTC/PAX","$15,622","$31.67","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"334",334,"Modum","MOD/ETH","$15,057","$0.302233","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"335",335,"VIBE","VIBE/ETH","$14,929","$0.035175","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"336",336,"OST","OST/ETH","$14,749","$0.020027","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"337",337,"Bitcoin Cash","BCHABC/PAX","$14,748","$116.94","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"338",338,"TRON","TRX/PAX","$14,257","$0.027560","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"339",339,"Ravencoin","RVN/BNB","$13,720","$0.011941","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"340",340,"Eidoo","EDO/ETH","$13,556","$0.695560","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"341",341,"Groestlcoin","GRS/ETH","$13,003","$0.199911","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"342",342,"QLC Chain","QLC/BNB","$12,919","$0.023048","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"343",343,"Tael","WABI/BNB","$12,917","$0.121561","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"344",344,"Polymath","POLY/BNB","$12,906","$0.102688","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"345",345,"Ark","ARK/ETH","$12,851","$0.404972","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"346",346,"Lisk","LSK/ETH","$12,456","$1.12","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"347",347,"Streamr DATAcoin","DATA/ETH","$11,943","$0.018057","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"348",348,"Quantstamp","QSP/ETH","$11,935","$0.014522","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"349",349,"Ripio Credit Network","RCN/ETH","$11,779","$0.011413","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"350",350,"Enigma","ENG/ETH","$11,322","$0.269474","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"351",351,"Bread","BRD/ETH","$11,265","$0.202179","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"352",352,"Nexus","NXS/ETH","$11,176","$0.345005","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"353",353,"Storj","STORJ/ETH","$11,043","$0.130307","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"354",354,"Blox","CDT/ETH","$10,990","$0.007534","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"355",355,"AirSwap","AST/ETH","$10,714","$0.026349","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"356",356,"Gifto","GTO/BNB","$10,506","$0.025472","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"357",357,"SALT","SALT/ETH","$10,464","$0.214404","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"358",358,"Bitcoin SV","BCHSV/PAX","$10,294","$66.24","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"359",359,"Bitcoin SV","BCHSV/USDC","$9,802","$66.10","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"360",360,"HyperCash","HC/ETH","$9,795","$0.959918","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"361",361,"YOYOW","YOYO/ETH","$9,297","$0.014030","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"362",362,"BlockMason Credit Protocol","BCPT/ETH","$9,125","$0.030316","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"363",363,"Golem","GNT/ETH","$8,882","$0.058181","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"364",364,"Po.et","POE/ETH","$8,571","$0.005043","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"365",365,"Cindicator","CND/ETH","$8,144","$0.010014","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"366",366,"Substratum","SUB/ETH","$7,997","$0.042197","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"367",367,"Basic Attention Token","BAT/BNB","$7,747","$0.116017","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"368",368,"PIVX","PIVX/BNB","$7,716","$0.699066","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"369",369,"Etherparty","FUEL/ETH","$7,705","$0.007758","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"370",370,"Neblio","NEBL/ETH","$7,673","$1.04","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"371",371,"Bluzelle","BLZ/BNB","$7,562","$0.038570","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"372",372,"Qtum","QTUM/BNB","$7,402","$1.90","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"373",373,"POA Network","POA/BNB","$7,356","$0.028926","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"374",374,"AppCoins","APPC/ETH","$7,319","$0.042332","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"375",375,"SONM","SNM/ETH","$7,209","$0.019447","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"376",376,"Power Ledger","POWR/BNB","$7,198","$0.084791","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"377",377,"Zcoin","XZC/ETH","$7,184","$4.70","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"378",378,"Ethereum Classic","ETC/BNB","$6,827","$4.01","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"379",379,"Horizen","ZEN/ETH","$6,823","$4.22","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"380",380,"district0x","DNT/ETH","$6,746","$0.010938","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"381",381,"Litecoin","LTC/USDC","$6,645","$31.93","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"382",382,"THETA","THETA/BNB","$6,569","$0.055170","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"383",383,"Ripio Credit Network","RCN/BNB","$6,533","$0.011552","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"384",384,"Enjin Coin","ENJ/BNB","$6,467","$0.031954","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"385",385,"Augur","REP/BNB","$6,307","$12.01","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"386",386,"NULS","NULS/BNB","$6,097","$0.418341","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"387",387,"Golem","GNT/BNB","$6,069","$0.057453","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"388",388,"Nucleus Vision","NCASH/BNB","$5,946","$0.001740","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"389",389,"NavCoin","NAV/ETH","$5,916","$0.151824","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"390",390,"Ardor","ARDR/ETH","$5,417","$0.052381","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"391",391,"Steem","STEEM/BNB","$5,367","$0.297634","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"392",392,"Nexus","NXS/BNB","$4,991","$0.344349","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"393",393,"Quantstamp","QSP/BNB","$4,926","$0.014642","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"394",394,"GoChain","GO/BNB","$4,922","$0.019846","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"395",395,"Aeternity","AE/BNB","$4,813","$0.379093","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"396",396,"Viacoin","VIA/BNB","$4,753","$0.305039","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"397",397,"Aion","AION/BNB","$4,730","$0.121016","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"398",398,"OST","OST/BNB","$4,488","$0.020007","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"399",399,"Waltonchain","WTC/BNB","$4,412","$1.02","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"400",400,"Lisk","LSK/BNB","$4,227","$1.12","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"401",401,"Cindicator","CND/BNB","$3,944","$0.010040","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"402",402,"BitShares","BTS/BNB","$3,836","$0.037582","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"403",403,"Civic","CVC/ETH","$3,658","$0.049314","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"404",404,"USD Coin","USDC/BNB","$3,503","$1.34","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"405",405,"Zcoin","XZC/BNB","$3,496","$4.72","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"406",406,"BlockMason Credit Protocol","BCPT/BNB","$3,363","$0.030424","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"407",407,"SingularityNET","AGI/BNB","$3,294","$0.045948","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"408",408,"YOYOW","YOYO/BNB","$3,252","$0.014027","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"409",409,"Syscoin","SYS/ETH","$3,226","$0.042235","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"410",410,"CloakCoin","CLOAK/ETH","$3,032","$1.13","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"411",411,"Crypto.com","MCO/BNB","$3,006","$2.06","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"412",412,"Skycoin","SKY/BNB","$2,999","$0.956525","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"413",413,"Wanchain","WAN/BNB","$2,988","$0.295042","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"414",414,"Horizen","ZEN/BNB","$2,872","$4.24","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"415",415,"Storm","STORM/BNB","$2,836","$0.002919","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"416",416,"Ren","REN/BNB","$2,831","$0.018822","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"417",417,"Siacoin","SC/BNB","$2,762","$0.002388","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"418",418,"NavCoin","NAV/BNB","$2,596","$0.151933","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"419",419,"Bread","BRD/BNB","$1,765","$0.205069","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"420",420,"Decred","DCR/BNB","$1,673","$16.51","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"421",421,"Nebulas","NAS/BNB","$1,475","$0.533741","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"422",422,"AdEx","ADX/BNB","$1,367","$0.094974","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"423",423,"Chainlink","LINK/PAX","$1,325","$0.426725","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"424",424,"AppCoins","APPC/BNB","$1,235","$0.042926","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"425",425,"Syscoin","SYS/BNB","$1,232","$0.042704","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"426",426,"Ambrosus","AMB/BNB","$1,066","$0.057543","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"427",427,"CyberMiles","CMT/BNB","$1,003","$0.023868","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"428",428,"Neblio","NEBL/BNB","$874","$1.06","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"429",429,"Civic","CVC/BNB","$532","$0.049739","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
"430",430,"Ardor","ARDR/BNB","$421","$0.052084","0.00%","Spot","Percentage","Recently","Binance",2019-01-30
